小时,活跃用户数,购买用户数,购买转化率,转化率(显示)
0,9703,942,9.7%,9.7%
1,11504,1385,12.0%,12.0%
2,12993,1774,13.7%,13.7%
3,13091,1783,13.6%,13.6%
4,13319,1779,13.4%,13.4%
5,13604,1805,13.3%,13.3%
6,13205,1700,12.9%,12.9%
7,13632,1773,13.0%,13.0%
8,13319,1666,12.5%,12.5%
9,12850,1468,11.4%,11.4%
10,12781,1364,10.7%,10.7%
11,14052,1629,11.6%,11.6%
12,15180,1963,12.9%,12.9%
13,15749,2059,13.1%,13.1%
14,14863,1871,12.6%,12.6%
15,11390,1262,11.1%,11.1%
16,7377,894,12.1%,12.1%
17,3741,341,9.1%,9.1%
18,2196,188,8.6%,8.6%
19,1535,98,6.4%,6.4%
20,1412,102,7.2%,7.2%
21,1932,119,6.2%,6.2%
22,4308,321,7.5%,7.5%
23,7939,668,8.4%,8.4%
